citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number
60 FR 19825, 95-9941,19843,https://www.federalregister.gov/documents/1995/04/20/95-9941/classified-national-security-information,https://www.govinfo.gov/content/pkg/FR-1995-04-20/pdf/95-9941.pdf,Presidential Document,Executive Order,04/20/1995,04/17/1995,19825,Classified National Security Information,"Revokes: EO 12356, April 6, 1982; Amended by: EO 12972, September 18, 1995; EO 13142, November 19, 1999; EO 13292, March 25, 2003; Revoked by: EO 13526, December 29, 2009; See: Order of October 13, 1995; Order of February 27, 1996; Order of February 26, 1997; Final rule of July 1, 1997 (62 FR 36984); EO 13231, October 16, 2001; Military order of November 13, 2001 (66 FR 57833); Order of December 10, 2001 (66 FR 64347); EO 13284, January 23, 2003; EO 13311, July 29, 2003; Order of September 17, 2003 (68 FR 55257); EO 13329, February 24, 2004; EO 13354, August 27, 2004; EO 13356, August 27, 2004; Order of April 21, 2005; EO 13387, October 14, 2005; EO 13388, October 25, 2005; EO 13462, February 29, 2008; EO 13467, June 30, 2008; EO 13470, July 30, 2008; EO 13516, October 28, 2009",12958
60 FR 14615, 95-6849,14616,https://www.federalregister.gov/documents/1995/03/17/95-6849/prohibiting-certain-transactions-with-respect-to-the-development-of-iranian-petroleum-resources,https://www.govinfo.gov/content/pkg/FR-1995-03-17/pdf/95-6849.pdf,Presidential Document,Executive Order,03/17/1995,03/15/1995,14615,Prohibiting Certain Transactions With Respect to the Development of Iranian Petroleum Resources,"Revoked in part and supplemented by: EO 12959, May 6, 1995;  Revoked in part by: EO 13059, August 19, 1997; See: Notice of March 8, 1996; Notice of March 5, 1997; Notice of March 4, 1998; Notice of March 10, 1999; Notice of March 13, 2000; Notice of March 13, 2001; Notice of March 13, 2002; Notice of March 12, 2003; Notice of March 10, 2004; Notice of March 10, 2005; Notice of March 13, 2006; Notice of March 8, 2007; Notice of March 11, 2008; Notice of March 11, 2009; Notice of March 10, 2010; EO 13553, September 28, 2010; EO 13574, May 23, 2011; EO 13590, November 20, 2011; EO 13606, April 22, 2012; EO 13608, May 1, 2012; EO 13622, July 30, 2012; EO 13628, October 9, 2012",12957
60 FR 14199, 95-6588,14199,https://www.federalregister.gov/documents/1995/03/15/95-6588/executive-order-12956-of-march-13-1995,https://www.govinfo.gov/content/pkg/FR-1995-03-15/pdf/95-6588.pdf,Presidential Document,Executive Order,03/15/1995,03/13/1995,14199,"Executive Order 12956 of March 13, 1995","",12956
60 FR 13023, 95-6121,13025,https://www.federalregister.gov/documents/1995/03/10/95-6121/ensuring-the-economical-and-efficient-administration-and-completion-of-federal-government-contracts,https://www.govinfo.gov/content/pkg/FR-1995-03-10/pdf/95-6121.pdf,Presidential Document,Executive Order,03/10/1995,03/08/1995,13023,Ensuring the Economical and Efficient Administration and Completion of Federal Government Contracts,"",12954
60 FR 13365, 95-6211,13365,https://www.federalregister.gov/documents/1995/03/10/95-6211/nuclear-cooperation-with-euratom,https://www.govinfo.gov/content/pkg/FR-1995-03-10/pdf/95-6211.pdf,Presidential Document,Executive Order,03/10/1995,03/09/1995,13365,Nuclear Cooperation With EURATOM,"Supersedes: EO 12903, March 9, 1994",12955
60 FR 10789, 95-5050,10790,https://www.federalregister.gov/documents/1995/02/28/95-5050/release-of-imagery-acquired-by-space-based-national-intelligence-reconnaissance-systems,https://www.govinfo.gov/content/pkg/FR-1995-02-28/pdf/95-5050.pdf,Presidential Document,Executive Order,02/28/1995,02/22/1995,10789,Release of Imagery Acquired by Space-Based National Intelligence Reconnaissance Systems,"",12951
60 FR 11011, 95-5129,11011,https://www.federalregister.gov/documents/1995/02/28/95-5129/amendment-to-executive-order-no-12950,https://www.govinfo.gov/content/pkg/FR-1995-02-28/pdf/95-5129.pdf,Presidential Document,Executive Order,02/28/1995,02/24/1995,11011,Amendment to Executive Order No. 12950,"Amends: EO 12950, February 22, 1995",12952
60 FR 11013, 95-5146,11016,https://www.federalregister.gov/documents/1995/02/28/95-5146/actions-required-of-all-executive-agencies-to-facilitate-payment-of-child-support,https://www.govinfo.gov/content/pkg/FR-1995-02-28/pdf/95-5146.pdf,Presidential Document,Executive Order,02/28/1995,02/27/1995,11013,Actions Required of all Executive Agencies To Facilitate Payment of Child Support,"",12953
60 FR 10475, 95-4908,10476,https://www.federalregister.gov/documents/1995/02/27/95-4908/establishing-an-emergency-board-to-investigate-a-dispute-between-metro-north-commuter-railroad-and,https://www.govinfo.gov/content/pkg/FR-1995-02-27/pdf/95-4908.pdf,Presidential Document,Executive Order,02/27/1995,02/22/1995,10475,Establishing an Emergency Board To Investigate a Dispute Between Metro North Commuter Railroad and Its Employees Represented by Certain Labor Organizations,"Amended by: EO 12952, February 24, 1995",12950
60 FR 8169, 95-3671,8169,https://www.federalregister.gov/documents/1995/02/13/95-3671/foreign-intelligence-physical-searches,https://www.govinfo.gov/content/pkg/FR-1995-02-13/pdf/95-3671.pdf,Presidential Document,Executive Order,02/13/1995,02/09/1995,8169,Foreign Intelligence Physical Searches,"Amended by: EO 13475, October 7, 2008",12949
60 FR 6381, 95-2687,6381,https://www.federalregister.gov/documents/1995/02/01/95-2687/amendment-to-executive-order-no-12898,https://www.govinfo.gov/content/pkg/FR-1995-02-01/pdf/95-2687.pdf,Presidential Document,Executive Order,02/01/1995,01/30/1995,6381,Amendment to Executive Order No. 12898,"Amends: EO 12898, February 11, 1994",12948
60 FR 5079, X95-110125,5081,https://www.federalregister.gov/documents/1995/01/25/X95-110125/prohibiting-transactions-with-terrorists-who-threaten-to-disrupt-the-middle-east-peace-process,https://www.govinfo.gov/content/pkg/FR-1995-01-25/pdf/X95-110125.pdf,Presidential Document,Executive Order,01/25/1995,01/23/1995,5079,Prohibiting Transactions With Terrorists Who Threaten To Disrupt the Middle East Peace Process,"Amended by: EO 13099, August 20, 1998; EO 13371, February 16, 2005; Continued by: Notice of January 18, 1996; Notice of January 21, 1997; Notice of January 21, 1998; Notice of January 19, 2000;
See: Notice of January 3, 1996; Notice of January 19, 2001; Notice of January 18, 2002; Notice of January 20, 2003; Notice of January 16, 2004; January 17, 2005; Notice of January 18, 2006; Notice of January 18, 2007; Notice of January 18, 2008; Notice of January 15, 2009; Notice of January 20, 2010",12947
60 FR 4527, 95-1877,4527,https://www.federalregister.gov/documents/1995/01/24/95-1877/amendment-to-executive-order-no-12640,https://www.govinfo.gov/content/pkg/FR-1995-01-24/pdf/95-1877.pdf,Presidential Document,Executive Order,01/24/1995,01/20/1995,4527,Amendment to Executive Order No. 12640,"",12945
60 FR 4829, 95-1925,4830,https://www.federalregister.gov/documents/1995/01/24/95-1925/presidents-advisory-board-on-arms-proliferation-policy,https://www.govinfo.gov/content/pkg/FR-1995-01-24/pdf/95-1925.pdf,Presidential Document,Executive Order,01/24/1995,01/20/1995,4829,President's Advisory Board on Arms Proliferation Policy,"Revoked by: EO 13062, September 29, 1997",12946
60 FR 309, 94-32388,318,https://www.federalregister.gov/documents/1995/01/03/94-32388/adjustments-of-certain-rates-of-pay-and-allowances,https://www.govinfo.gov/content/pkg/FR-1995-01-03/pdf/94-32388.pdf,Presidential Document,Executive Order,01/03/1995,12/28/1994,309,Adjustments of Certain Rates of Pay and Allowances,"Supersedes: EO 12826 of December 30, 1992; EO 12886 of December 13, 1993; Superseded by: EO 12984 of December 28, 1995; Executive Order 12945;  Amendment to Executive Order No. 12640",12944
59 FR 499, 94-290,499,https://www.federalregister.gov/documents/1994/01/05/94-290/amendment-to-executive-order-no-12864,"",Presidential Document,Executive Order,01/05/1994,12/30/1993,499,Amendment to Executive Order No. 12864,"",12890
